subcarrier,frequency_hz,channel_gain,power_uniform_w,power_water_filling_w,power_edge_weighted_w,power_sensing_optimal_w,power_min_power_isac_w,power_max_rate_isac_w,power_dinkelbach_ee_isac_w,power_dinkelbach_ee_rmin_isac_w
33,22500.0,3.176789751766952e-13,0.015625,0.015612740504414174,0.00010302197802197802,0.0,0.006181170740669502,0.009876156592637029,0.0039669242208609035,0.006181419976301964
34,37500.0,9.22474430151547e-13,0.015625,0.016230411158057633,0.0002861721611721612,0.0,0.006824434657697726,0.010525787943402084,0.004604005719000902,0.006824972700442925
35,52500.0,1.0452743375762825e-12,0.015625,0.01626852692592632,0.0005608974358974359,0.0,0.0069004956627225925,0.010612357512315958,0.0046717170118637024,0.006901119203735134
36,67500.0,3.4009094902611803e-13,0.015625,0.01567482566646661,0.0009271978021978022,0.0,0.006360376818414621,0.010083560534792044,0.004118081517605387,0.0063601411409411075
37,82500.0,4.98165791147416e-13,0.015625,0.0159540704316021,0.0013850732600732601,0.0,0.006704450334696803,0.01044577003618216,0.004448054524398562,0.006706176134382123
38,97500.0,3.208051254118963e-13,0.015625,0.015621921110069804,0.0019345238095238096,0.0,0.0064547504180855406,0.01021377185821704,0.0041781505341987575,0.006454979307206256
39,112500.0,1.6922982170557983e-12,0.015625,0.016377999261372463,0.0025755494505494505,0.0,0.0073080125954441185,0.011091260342563228,0.005008831273668322,0.007308181353856459
40,127500.0,1.1737243071934868e-12,0.015625,0.016299861866690756,0.003308150183150183,0.0,0.007344600879708276,0.011154037900345883,0.005018942233249633,0.007344402714531468
41,142500.0,1.9656869246909585e-12,0.015625,0.016402596173256692,0.004132326007326007,0.0,0.007580770070223627,0.011419786893019162,0.005224360185599377,0.007579618380433842
42,157500.0,1.1599233822663282e-12,0.015625,0.016296827947209776,0.005048076923076923,0.0,0.007627183849910493,0.011499973303842424,0.00523765806722703,0.007627130086577092
43,172500.0,4.980553396400075e-13,0.015625,0.015953937198725572,0.006055402930402931,0.0,0.007459594621808827,0.011369308846353034,0.005031925615771138,0.007459698507267041
44,187500.0,2.566536040714255e-12,0.015625,0.01643824087372206,0.007154304029304029,0.0,0.008144721009453246,0.012094652862634963,0.005673808589709888,0.00814458600110534
45,202500.0,1.2391449970501075e-13,0.015625,0.014139563892996745,0.00834478021978022,0.0,0.006075282350193034,0.010064851302191835,0.0035561619364523163,0.006074105394962521
46,217500.0,1.232065188100363e-12,0.015625,0.016311936236022825,0.009626831501831502,0.0,0.008508788557487084,0.012544967664345742,0.005936593274439449,0.008508986243046687
47,232500.0,1.9272773597460463e-12,0.015625,0.016399561778504507,0.011000457875457876,0.0,0.008893433651434812,0.012977665537463191,0.00626396874831219,0.008894110559272788
48,247500.0,1.6258094626948455e-12,0.015625,0.016370766686937807,0.012465659340659341,0.0,0.009207069375260125,0.013337991714416216,0.006511876931857676,0.009206895960187098
49,262500.0,8.851740703512494e-13,0.015625,0.01621673949773398,0.014022435897435898,0.0,0.00944428109893329,0.013622397760192959,0.006679665027963408,0.009445052180626854
