subcarrier,gamma_frac_0.0000,gamma_frac_0.0416,gamma_frac_0.0833,gamma_frac_0.1249,gamma_frac_0.1665,gamma_frac_0.2081,gamma_frac_0.2498,gamma_frac_0.2914,gamma_frac_0.3330,gamma_frac_0.3746,gamma_frac_0.4163,gamma_frac_0.4579,gamma_frac_0.4995,gamma_frac_0.5411,gamma_frac_0.5827,gamma_frac_0.6244,gamma_frac_0.6660,gamma_frac_0.7076,gamma_frac_0.7493,gamma_frac_0.7909,gamma_frac_0.8325,gamma_frac_0.8741,gamma_frac_0.9158,gamma_frac_0.9574,gamma_frac_0.9990
24,0.016123494827714656,0.016122875105817204,0.01612283439131336,0.016122859679619524,0.016122682305821364,0.01612358357270109,0.016123325581928603,0.016122889828866366,0.01612248532432039,0.016122925248705035,0.016123290884170218,0.01505037656662902,0.013664410013283378,0.0124171406454938,0.011281481927363059,0.01023794373030333,0.009290852319926038,0.008355087977031894,0.007387103147903469,0.006345026848159763,0.00521791035182164,0.0040298473998325885,0.0027705562479323135,0.0014397984224111314,0.0
25,0.0163448595860787,0.016345694432808915,0.016345769399038396,0.016345758305158945,0.01634713965241943,0.016345640666473277,0.016345808873044994,0.016345702413635498,0.016344960211815467,0.01634584191946563,0.01634654934433898,0.015227848138331158,0.01380102232434389,0.012531813125066871,0.011386336436507454,0.010338857609739927,0.009393648858930688,0.00846235784898366,0.007500953790343989,0.0064655162131456185,0.005347452602685409,0.004172054358830853,0.002929236872291038,0.0016212381170654115,1.2516470051425641e-11
26,0.015612625423388794,0.015612768281581752,0.015613323897642858,0.015612792171324741,0.015613251339589157,0.01561280307362979,0.015612129345406393,0.01561290629882797,0.015611917431791673,0.01561232153210379,0.015612417693034725,0.014455288597535587,0.012995199319025685,0.011707558909273916,0.01055369556150095,0.009504745647952237,0.008561014914941092,0.007632835525287289,0.006676605854850763,0.005646938234823538,0.004537091685165161,0.00337224681265762,0.0021436159949590004,0.0008540506403317581,0.0
27,0.016374214791144374,0.01637503318793879,0.016375143636100733,0.016374846834085313,0.016373818820320206,0.01637383942572517,0.01637510601862721,0.01637501340098608,0.016374997349957565,0.01637480458925736,0.016375097960664973,0.0151853498004701,0.013697028407265083,0.012394593883562443,0.011233610925035718,0.010183347441035629,0.009242032163806485,0.008316313163034104,0.00736380054155531,0.006339905938154345,0.0052362591024330265,0.004080381719948012,0.002863279670158602,0.0015887498684415324,4.9976970997462185e-11
28,0.01504759410598139,0.015046434464449532,0.015045944575000126,0.015046377600744076,0.015046623728926171,0.015047410125605351,0.015046036477774416,0.015046387662875107,0.015046938699243473,0.015045654669937252,0.015046261655447602,0.013831625078364116,0.01232055238513943,0.011006863062957922,0.009840593019869429,0.008789855130718543,0.007848464486774323,0.00692586848552617,0.005976648080133742,0.004956988926681022,0.003858350998755609,0.0027092207095920245,0.0015010305543654938,0.00023882500699882867,0.0
29,0.015538180036585527,0.015539322879043622,0.015538825552908675,0.015539271269234505,0.015538745018654865,0.015539539163691071,0.015539540208448638,0.015539291881870218,0.015539407522749061,0.015539357540262715,0.015538259326529922,0.014305216662299948,0.012777803309023512,0.011455485634661694,0.010285662005899967,0.009233776199231433,0.00829299326049203,0.0073727836666702155,0.006425033854631413,0.005409036077553455,0.004314935991354272,0.0031709860280629237,0.001969786185373719,0.0007155980625474872,0.0
30,0.016001576612652103,0.016001477060528655,0.01600184613722488,0.01600151745617699,0.016000316411553656,0.016000946520055723,0.016001531576377674,0.016001414287862715,0.016000242648986137,0.01600154215741871,0.01600133850796798,0.014754599077101834,0.013216443835448226,0.011888098968648045,0.010716418519413115,0.009663210896298022,0.00872396193385725,0.007804022505838617,0.006860186793460942,0.0058448439322392725,0.004752874174735535,0.0036128207344057815,0.002415722045590588,0.001167611344257304,0.0
31,0.016014371663779482,0.01601444825683563,0.01601385874402487,0.016014457846061304,0.016014411744970716,0.016014380284214223,0.016014224057792716,0.01601450839011573,0.016015596700459205,0.016015018397301756,0.016014929741565077,0.014762030945770265,0.013217991096823282,0.011886581219915498,0.0107128599135985,0.009660944172442629,0.00872173930214649,0.007802767632118727,0.00685803617837067,0.00584473050309263,0.004754746362641322,0.003615439843832558,0.002420608561669829,0.001175559898261945,0.0
32,0.004881880255864672,0.004881343886316011,0.004881517128722562,0.004881347181659049,0.0048810847094310815,0.004882225257017101,0.004880511579557362,0.004881349987719031,0.004881128582803865,0.004881486317576292,0.004881000162849833,0.00362772929548521,0.0020842487744572955,0.0007533633642598483,2.1569655087317314e-09,7.089020838776915e-10,4.653810038299798e-10,1.9580569267593636e-10,2.0815513901475657e-10,1.788642605886255e-10,1.0257690966563117e-10,5.442914725966176e-11,9.185300097546321e-12,0.0,0.0
33,0.01561237231149704,0.015612730883725365,0.015612773689657853,0.015612686572556645,0.015612615935304778,0.015612672615135695,0.015612696633146987,0.015612747845615126,0.015612200043161467,0.015613199183264481,0.015612490675475902,0.014365652663393848,0.012827457575512121,0.011499501509151565,0.01032690746690401,0.009274214190271066,0.008337032376839467,0.007415760892567812,0.0064707687781167065,0.0054557602215045626,0.0043639204411498244,0.00322399134995675,0.002027197744167053,0.0007786716302157271,0.0
34,0.016230792870678253,0.016230367552891495,0.01623014650111967,0.016230441761442258,0.016230561166692154,0.016231305715748105,0.016230657989592272,0.01623047938659462,0.01623035310582642,0.016230432053548575,0.016230105813252793,0.014996369070026896,0.013468858296042814,0.012146389098014503,0.010976784676734788,0.009923975672232578,0.008984249093431413,0.0080634381811912,0.007117108036119502,0.0061002567722241025,0.005006023494044701,0.003862133921078874,0.002660616770001012,0.0014069792995956376,0.0
35,0.016268684686879992,0.016268522819339493,0.016267477874306175,0.01626852176254757,0.016268653202300757,0.016269644775828124,0.016268586633187712,0.016268691175930612,0.01626825069038553,0.016268556077192672,0.016269081591921815,0.015054578510582386,0.013542661124283258,0.012228827717981465,0.011062798696076284,0.01001118165337974,0.009070930102990394,0.008147509839130011,0.007198933743621495,0.006178345681893467,0.005080428471652818,0.003931498103546084,0.002723321572531213,0.0014607526852623313,5.855800923288801e-13
36,0.0156754769379047,0.015674823713252278,0.015674175291197842,0.015674844315420072,0.015674130738100235,0.015674824735571222,0.01567548049370909,0.01567512761800573,0.015674874072191546,0.015674836780879164,0.015674421376310182,0.01448547664848673,0.012996953534890157,0.01169425840440424,0.010533330757419853,0.0094827558025202,0.00854131132842833,0.007616621355260087,0.006663879899408613,0.005639328720614806,0.004536161181418867,0.0033803070235529464,0.002162991686636027,0.0008885883545866428,0.0
37,0.015954710082539635,0.015954068792405508,0.015953129312466587,0.01595404685173062,0.015954746193327027,0.01595288708588955,0.01595439153732845,0.015954094195663848,0.01595405132443092,0.015954152998668373,0.0159533216203102,0.014796544109718094,0.013336358554276576,0.012048268840290954,0.010893856443817707,0.009844705209134037,0.008901843656235687,0.007974113825804867,0.00701818248903255,0.005988303506953103,0.004878376950609992,0.0037129219556533673,0.0024850506910321624,0.0011951660753034355,0.0
38,0.015621301250486665,0.015621916057752098,0.015621822623785074,0.015621916445513693,0.015621702746242206,0.01562242910635912,0.015622159754881411,0.015621917265712403,0.01562174117453295,0.015621975467722184,0.015621782515129712,0.014503881872694163,0.013077182949746607,0.011807776990831529,0.010662044301907904,0.00961694585110597,0.008669774450133437,0.007738675388415933,0.006777162251702501,0.005741130623061122,0.0046240872718090326,0.003448242734033254,0.00220582150831724,0.0008974627997100516,0.0
39,0.016377234636305475,0.016377974305696073,0.016378047778769153,0.0163780767372421,0.01637796417823742,0.01637798111051819,0.016377962025584617,0.01637800748556008,0.01637800232963653,0.01637804358885357,0.01637821540544974,0.015304653139483603,0.013919512063256234,0.012672703268921084,0.011536548414874268,0.010493034005855162,0.009545385969263027,0.008610217506110442,0.0076429019064281276,0.006601133272440885,0.005473032300746585,0.004285135411596631,0.0030254238917849672,0.0016950267975479126,5.197317999824686e-06
40,0.016298998395194615,0.01629985369232599,0.016299918548457266,0.01629978901697181,0.016300027898030714,0.01629883982442816,0.016299435504578408,0.016299988680545285,0.01630011390303721,0.01629986601225242,0.01630019331682683,0.015281658322387726,0.013941204402726157,0.012720108413296323,0.011596848144339492,0.010556494484160179,0.009606850919057828,0.008667800314737304,0.007694592126604533,0.0066433507220446395,0.0055053239097761445,0.004303503506593101,0.0030237361209211845,0.0016667078685104184,4.978202668027325e-12
41,0.01640236587294201,0.01640255992239285,0.016402686483395715,0.01640258390923669,0.016403273074865152,0.016401736018957832,0.016402685613936322,0.016402572371629724,0.016402558718393394,0.016402795972631258,0.016402619633345213,0.015443311595519347,0.014157808725990874,0.012967683023478779,0.011860308983307088,0.010824069636047588,0.00987229980548996,0.008928986392180017,0.007947566290551818,0.006888373592840767,0.005737737018602166,0.004518316754184242,0.0032170923381704087,0.0018289819455204754,4.189527992830761e-05
42,0.016297292187177004,0.016296831659474688,0.016296982601338644,0.01629683371217189,0.016296730312550925,0.016296903762018956,0.016296685759086788,0.01629682836337697,0.016296714850594262,0.016296895148021396,0.016296640732299077,0.015402555967115813,0.014180956475632842,0.013026692935345117,0.011936446427883078,0.010906382369471897,0.00995333514813785,0.009004784302118122,0.008016651383652965,0.006945496233365548,0.005783001261890014,0.004545011127948449,0.0032175716444287315,0.0017937106151876552,8.178071671572212e-12
43,0.01595366455285936,0.01595394508511268,0.015954884680311178,0.015953934136492046,0.01595377188920276,0.015954032118856838,0.015954214485877208,0.015953941020134612,0.015954088496851055,0.015953686458783034,0.01595383652946816,0.015134815135831911,0.013982476377865559,0.012869213891436025,0.011800176538369012,0.010778922083835922,0.009825854022485123,0.008871328028168271,0.007874256326205989,0.006794127328713424,0.0056158352289585305,0.0043567795493722776,0.0029994971370031973,0.001534153808831557,0.0
44,0.016437567082583662,0.01643823617967257,0.016438305094098913,0.016438212870018253,0.016438751086442296,0.016437825277907474,0.01643837324982438,0.016438200698125818,0.016438577666911643,0.01643833074099904,0.01643783938841363,0.015698782706350466,0.014627619184909296,0.013562727914617415,0.012518591852451667,0.011508065954698258,0.010552666257071542,0.0095937731123028,0.008589291789201012,0.007497530501921994,0.006302982771752012,0.005022587405084547,0.003631288089813332,0.0021178154715115506,0.00010628462439901143
45,0.014140125138131456,0.014139599088355985,0.014140261027676033,0.01413953657008062,0.01413910667281872,0.014139331537407197,0.01414009396191374,0.014139572295755493,0.01413871396451316,0.014139535389887055,0.014139375571700342,0.013490580051849521,0.012507222545810425,0.011497445881551424,0.01048520663479648,0.009485815182687955,0.00853337778697184,0.007568513912564849,0.006553849129149043,0.0054513629497500785,0.004240145456847982,0.0029333547608905177,0.0015066560716593485,2.1629988579430975e-09,0.0
46,0.016311304719473233,0.016311925953210217,0.016312001326869347,0.016311928392631354,0.016312544999369852,0.016312161262830575,0.016311951651375143,0.016311963907409566,0.016311776480916418,0.016311518799025784,0.016311827902688703,0.015759075213489432,0.014876728321363192,0.013930694756994757,0.01295406722413164,0.011972083144220127,0.011019936257418681,0.010051535628242013,0.009029673903383707,0.007914158556014489,0.006686028508945779,0.005353053711636568,0.0038846229741311936,0.0022527409311193978,1.0727457649046908e-05
47,0.016399101684704074,0.016399580119918,0.016399631160075846,0.016399574188388003,0.01639984391162139,0.016400121475807876,0.016399417982506354,0.016399812499789466,0.016399545439360966,0.016399573513900832,0.016399737108745926,0.015952745433372877,0.015181115782929683,0.014308692062165512,0.013377314211541182,0.012414383377391968,0.01146625974327388,0.010494743602310815,0.009465387507792246,0.008339387034180763,0.00709390780993742,0.005732182378457687,0.0042189439822266275,0.0025135007139038272,0.00011937682228594705
48,0.016371195076915607,0.016370788906051457,0.01637083194966222,0.01637081011865798,0.01637101227159327,0.016371783911028816,0.016371029382748124,0.016370736796093174,0.016370230830567035,0.01637079469167572,0.01637070685185999,0.016037804563103372,0.015390558131266996,0.014604566531595616,0.013722486514919871,0.012787285652210092,0.01184554992141477,0.010874549175331356,0.00983951520435361,0.008700724925687605,0.007440458802443768,0.006049303359422142,0.004486842994491309,0.0026982266858566724,0.00011725328436902202
49,0.016216299092471513,0.016216740816169327,0.016215940653016334,0.01621674884773206,0.016216578346979222,0.016215992968960563,0.016216211287242394,0.01621691763265564,0.01621682257783908,0.016216740281201184,0.016217250639466285,0.016005321093262585,0.015497964790727894,0.014808206909632167,0.01399132972172287,0.013088678901008764,0.012159684956450222,0.0111895880868354,0.010149549294044954,0.009006036010019447,0.007730204100388874,0.0063109433616523065,0.004695668882068832,0.0028118157484569362,1.0957083655877013e-09
50,0.015573441975686043,0.015572925482237111,0.015572481860427492,0.015572940545644513,0.015572353057205184,0.015573416967079989,0.015573263152474611,0.015573013138209699,0.015573396753801524,0.015573341145463255,0.015573189244245701,0.015495268508713956,0.01514078977440268,0.014564871083703626,0.013823237171601273,0.012965931590666401,0.012051062454745924,0.011088001501257827,0.010047644786581171,0.008900144464251818,0.0076161652021587275,0.00617185727463106,0.004504405669039131,0.002511301343508355,0.0
51,0.016260923090299067,0.01626072263161498,0.01626001265858835,0.01626071555219058,0.01626275395966041,0.01626041685013127,0.016260456048564333,0.016260710076302875,0.016260717224780268,0.016260781514648867,0.01626163806043567,0.016323748651429493,0.01614214994059566,0.015698729766157715,0.015049529397303314,0.014245746389555655,0.013354980525124648,0.012407105028031329,0.01136992863738932,0.010228512408271457,0.008944012227272844,0.00748315302474036,0.005764772322229079,0.0036528212380155436,0.00015406437579809371
