method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate
exact_efim_sampled_psl,physical_sensing_feasibility_rate,25,1.0,,,1.0,1.0,,,,,,,1.0
exact_efim_sampled_psl,dense_psl_feasibility_rate,25,0.92,,,0.8057064730489224,1.0342935269510776,,,,,,,0.92
exact_efim_sampled_psl,false_sensing_feasibility_rate,25,0.0,,,0.0,0.0,,,,,,,0.0
exact_efim_cutting_plane_psl,rate_spectral_efficiency,25,314.3417993253296,308.45042978845595,85.71559711920173,278.96013980464807,349.7234588460111,171.23236849143677,265.64870267357156,390.14416959667096,432.00097829089435,441.21372668516307,125.37498175029216,
exact_efim_cutting_plane_psl,rate_mbps,25,4.715126989879945,4.626756446826839,1.2857339567880262,4.1844020970697215,5.245851882690168,2.5684855273715512,3.9847305401035733,5.852162543950064,6.480014674363416,6.618205900277446,1.8806247262543825,
exact_efim_cutting_plane_psl,tx_power_w,25,0.9999999995084936,0.9999999994873373,1.0950095788066195e-10,0.9999999994632939,0.9999999995536933,0.9999999993963672,0.9999999994449478,0.9999999995229513,0.9999999997402733,0.999999999841038,0.9999999993925853,
exact_efim_cutting_plane_psl,ee_mbit_per_j,25,1.4045059124627608,1.3781827719965416,0.38298458301950333,1.2464176464588284,1.5625941784666932,0.765080795679965,1.1869410121063224,1.7431973542563997,1.9302171378513278,1.971380481580593,0.5601860889361415,
exact_efim_cutting_plane_psl,independently_evaluated_unknown_fim,25,2.3424244101315604e+18,2.342424410136827e+18,2398425789.034721,2.342424409141539e+18,2.342424411121582e+18,2.3424244074059095e+18,2.342424409484088e+18,2.342424410847193e+18,2.3424244125216113e+18,2.3424244171606175e+18,2.3424244027720924e+18,
exact_efim_cutting_plane_psl,delay_fim_known_amplitude_per_s2,25,2.343956293631576e+18,2.342453498515201e+18,3938560481577851.5,2.342330535769013e+18,2.345582051494139e+18,2.3424244253588024e+18,2.342426075729033e+18,2.3437898155424804e+18,2.347388272424277e+18,2.361695684808685e+18,2.342424414944586e+18,
exact_efim_cutting_plane_psl,range_rmse_bound_m,25,0.09790759701999552,0.09793889914986026,8.186448562131446e-05,0.09787380502117107,0.09794138901881996,0.0978359036596934,0.09791097512740048,0.09793947243361428,0.09793950693555158,0.09793950715326685,0.09753909892639796,
exact_efim_cutting_plane_psl,centroid_magnitude_hz,25,4407.134877100994,1050.060255553287,6344.60714410614,1788.2097653378837,7026.0599888641045,19.001730236827512,251.3160273021847,7194.186192914549,13666.243341109699,27027.50716520896,11.036291501198397,
exact_efim_cutting_plane_psl,dense_psl_db,25,-13.037161264903467,-13.023426077419696,0.03594970057437712,-13.05200057196475,-13.022321957842184,-13.103120342925324,-13.028436443587395,-13.023389160146142,-13.023331981144777,-13.021230430983852,-13.18082423162566,
exact_efim_cutting_plane_psl,fim_mismatch_percent,25,0.06508546133903934,0.0012418122412729395,0.16685315178405788,-0.003788134655004577,0.13395905733308325,5.792098447786351e-07,7.113329904720322e-05,0.05825633480415012,0.21145173955099633,0.8159931619177863,1.371763406963983e-07,
exact_efim_cutting_plane_psl,solve_time_s,25,0.5257456550400821,0.4901209599993308,0.13454305671767164,0.470209010792754,0.5812822992874102,0.46038721979930414,0.4796381599990127,0.4975196119994507,0.8694019514019589,0.981866849000653,0.44132093400185113,
exact_efim_cutting_plane_psl,physical_sensing_feasibility_rate,25,1.0,,,1.0,1.0,,,,,,,1.0
exact_efim_cutting_plane_psl,dense_psl_feasibility_rate,25,1.0,,,1.0,1.0,,,,,,,1.0
exact_efim_cutting_plane_psl,false_sensing_feasibility_rate,25,0.0,,,0.0,0.0,,,,,,,0.0
