asymmetry,method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min
1.5,water_filling,rate_spectral_efficiency,8,322.47147370617654,323.3034697451454,6.45173750656484,317.0776861698252,327.8652612425279,313.02393505937533,321.89361380100013,324.465731931267,329.57003988246714,332.1537817959612,308.91798317116394
1.5,water_filling,ee_mbit_per_j,8,1.4408299888998468,1.4445474180102431,0.028826912263040027,1.4167300871419612,1.4649298906577324,1.3986175821804727,1.438248061663544,1.4497405043742897,1.4725469867081087,1.4840913654703076,1.3802718397014
1.5,water_filling,dense_psl_db,8,-13.293536798222611,-13.007248166069072,0.6163278678077244,-13.8087997902933,-12.778273806151923,-14.270531069160924,-13.59400820426422,-12.897360393209869,-12.765051969085738,-12.721546802703433,-14.512829823825225
1.5,water_filling,independently_evaluated_unknown_fim,8,1.996647813403558e+18,1.9910616969833958e+18,4.435725631618612e+16,1.9595642190971346e+18,2.0337314077099812e+18,1.9402585123066657e+18,1.97141844275962e+18,2.024527617242624e+18,2.0566361900809815e+18,2.063134165352271e+18,1.926873114062452e+18
1.5,water_filling,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
1.5,water_filling,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
1.5,conventional_s2,fim_mismatch_percent,8,0.10741051424662248,0.06170322146801608,0.10243907992016668,0.021769300240865097,0.19305172825237987,0.03748795876383026,0.04786170305158577,0.11882063589757128,0.27858381964457407,0.3352485105369514,0.036060596490383144
1.5,conventional_s2,centroid_magnitude_hz,8,9026.162337037898,7388.157110708334,3985.5252844148217,5694.179815582902,12358.144858492895,5767.471940991926,6511.446874570603,10191.483970856141,15556.740413687134,17253.093855870233,5658.48292142865
1.5,conventional_s2,rate_spectral_efficiency,8,321.1174699615641,322.01492303063856,6.461291936868193,315.71569472158495,326.51924520154324,311.63896859108814,320.98565174143334,322.7469358553411,328.0774242632009,330.67280895440257,307.3391871706557
1.5,conventional_s2,ee_mbit_per_j,8,1.4347801857286941,1.4387900822769826,0.028869602293857464,1.4106445942119001,1.4589157772454882,1.3924294349593291,1.4341912106647932,1.4420607780577146,1.46587785401626,1.4774742536729284,1.3732176456203622
1.5,conventional_s2,dense_psl_db,8,-10.404131360149199,-10.382908031641048,0.28497355032023297,-10.64237521032801,-10.165887509970387,-10.788713935227806,-10.583129905122203,-10.215917431977495,-10.061555546350096,-10.05515684648179,-10.85927785867147
1.5,conventional_s2,independently_evaluated_unknown_fim,8,2.339908403463178e+18,2.3409790624039875e+18,2399558102486092.5,2.3379023226868337e+18,2.341914484239523e+18,2.335898798069161e+18,2.3396411297958984e+18,2.341303289216474e+18,2.341546286639073e+18,2.341579721589013e+18,2.334571470376855e+18
1.5,conventional_s2,physical_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,
1.5,conventional_s2,false_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,
1.5,exact_efim,fim_mismatch_percent,8,0.044583550667482624,0.028307656834051453,0.03986417932746996,0.011256262726119105,0.07791083860884615,0.016803788280444352,0.020090530391998693,0.04721958674279089,0.11174837184573609,0.12965472952019771,0.01547622242268361
1.5,exact_efim,centroid_magnitude_hz,8,5859.097133018715,4985.611363988433,2458.1108176899743,3804.06506174558,7914.12920429185,3857.5584041733377,4223.691951034507,6375.549807905321,9901.744668350442,10736.419250341583,3707.2309679857335
1.5,exact_efim,rate_spectral_efficiency,8,321.1049923064892,322.00654159888063,6.471003622017892,315.6950978945406,326.51488671843777,311.6111934095557,320.979320096838,322.7313300477776,328.0710885160462,330.66628870243346,307.2988154447904
1.5,exact_efim,ee_mbit_per_j,8,1.4347244345265393,1.4387526334404932,0.028912994834299523,1.410552565938093,1.4588963031149855,1.3923053332225261,1.4341629203263735,1.441991049987134,1.4658495451856883,1.477445120383162,1.3730372614466204
