method,metric,count,mean,median,std,ci95_low,ci95_high,p05,p25,p75,p95,max,min,rate,num_subcarriers
exact_efim,centroid_magnitude_hz,8,28460.27602565468,15833.382540133836,28054.565564084074,5006.0722668479575,51914.4797844614,3114.583154064227,9495.517161106825,47762.188884138464,70292.20216086219,81786.48051309497,2846.0947348171953,,128
exact_efim,dense_psl_db,8,-10.976790459125635,-10.647225404468562,0.7462728240832635,-11.600690153302931,-10.352890764948338,-12.135881914415537,-11.29688662293526,-10.507882935219516,-10.330512361370998,-10.31493113522549,-12.139466567648194,,128
exact_efim,ee_mbit_per_j,8,2.4858661462648,2.4203315823232288,0.4477067529451202,2.111573934047775,2.860158358481825,2.0441735597142126,2.2467631898589278,2.548986648619791,3.1729071162258404,3.4531540413771267,1.9453732386419724,,128
exact_efim,physical_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,128
exact_efim,dense_psl_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
exact_efim,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
exact_efim_cutting_plane_psl,rate_spectral_efficiency,8,554.2800371633734,540.4461227772451,99.89352061790701,470.76696399155423,637.7931103351926,456.6159669160196,498.4191466335247,568.7527242005989,707.5535292324039,770.3868717080416,435.06975678995263,,128
exact_efim_cutting_plane_psl,independently_evaluated_unknown_fim,8,9.370439602353062e+18,9.37043960656056e+18,10651236145.068481,9.370439593448405e+18,9.370439611257719e+18,9.370439587725705e+18,9.370439593112103e+18,9.370439609275087e+18,9.370439613817692e+18,9.370439616043837e+18,9.370439585717434e+18,,128
exact_efim_cutting_plane_psl,fim_mismatch_percent,8,0.1773151515140607,0.030572158043405878,0.22483349201417274,-0.010650351692854304,0.3652806547209757,0.001217759019329163,0.015071484534090122,0.3948944181836146,0.488242718219104,0.5094860713337572,0.0010238384850242098,,128
exact_efim_cutting_plane_psl,centroid_magnitude_hz,8,19087.760744402578,10383.181930119415,17506.384262469328,4452.0572388891,33723.464249916055,2068.1378759067743,6845.34565475592,37498.14771434911,41727.135574334905,42648.72644370675,1906.9912262913517,,128
exact_efim_cutting_plane_psl,dense_psl_db,8,-13.051158112301348,-13.032427574701352,0.039959964207172294,-13.084565478406118,-13.017750746196578,-13.118594153527413,-13.053672321966461,-13.02836734518274,-13.023746076767253,-13.022213679919423,-13.12940935263952,,128
exact_efim_cutting_plane_psl,ee_mbit_per_j,8,2.476570380077285,2.4147592730384364,0.44633275167050346,2.103426861672186,2.849713898482384,2.0401990024096044,2.226979166611768,2.541235578206397,3.1614093871513207,3.4421541085261746,1.9439287018690505,,128
exact_efim_cutting_plane_psl,physical_sensing_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,128
exact_efim_cutting_plane_psl,dense_psl_feasibility_rate,8,1.0,,,1.0,1.0,,,,,,,1.0,128
exact_efim_cutting_plane_psl,false_sensing_feasibility_rate,8,0.0,,,0.0,0.0,,,,,,,0.0,128
